provincias,loc_conectadas,loc_sin_conexion,porcentaje_conexion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
BUENOS AIRES,809,92,0.9,0.44,0.43,0.26,0.55,0.81,0.73,0.68,0.61,0.19
CHUBUT,77,13,0.86,0.17,0.14,0.19,0.17,0.49,0.4,0.7,0.4,0.64
MISIONES,107,36,0.75,0.27,0.23,0.0,0.36,0.8,0.37,0.55,0.46,0.24
CABA,48,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHACO,83,9,0.9,0.34,0.17,0.01,0.54,0.9,0.53,0.57,0.55,0.52
CORDOBA,465,91,0.84,0.39,0.19,0.01,0.37,0.74,0.6,0.67,0.63,0.16
ENTRE RIOS,168,26,0.87,0.28,0.23,0.02,0.26,0.76,0.46,0.76,0.77,0.13
RIO NEGRO,131,32,0.8,0.18,0.09,0.16,0.34,0.5,0.42,0.4,0.61,0.53
JUJUY,98,62,0.61,0.2,0.15,0.0,0.45,0.46,0.29,0.37,0.4,0.45
FORMOSA,59,4,0.94,0.22,0.05,0.0,0.27,0.71,0.27,0.51,1.0,0.39
LA PAMPA,82,7,0.92,0.12,0.22,0.16,0.61,0.57,0.38,0.84,0.83,0.73
MENDOZA,172,38,0.82,0.17,0.1,0.16,0.45,0.74,0.69,0.43,0.62,0.11
SALTA,119,20,0.86,0.27,0.16,0.01,0.72,0.74,0.36,0.45,0.59,0.56
NEUQUEN,56,5,0.92,0.3,0.18,0.3,0.34,0.61,0.36,0.73,0.75,0.64
SAN JUAN,85,23,0.79,0.11,0.01,0.13,0.14,0.58,0.48,0.47,0.86,0.21
SAN LUIS,105,124,0.46,0.1,0.07,0.09,0.19,0.39,0.27,0.39,0.84,0.17
SANTA FE,368,20,0.95,0.48,0.36,0.01,0.36,0.8,0.49,0.79,0.68,0.18
SANTIAGO DEL ESTERO,133,32,0.81,0.11,0.14,0.01,0.35,0.68,0.31,0.33,0.59,0.61
TUCUMAN,104,13,0.89,0.29,0.09,0.01,0.19,0.86,0.67,0.58,0.48,0.14
TIERRA DEL FUEGO,6,10,0.38,0.5,0.33,0.33,0.33,1.0,0.83,0.5,0.5,0.67
SANTA CRUZ,27,0,1.0,0.19,0.19,0.26,0.33,0.59,0.56,0.63,0.41,0.81
LA RIOJA,66,27,0.71,0.2,0.33,0.02,0.44,0.55,0.21,0.53,0.8,0.24
CORRIENTES,75,3,0.96,0.28,0.12,0.01,0.16,0.93,0.52,0.68,0.6,0.73
CATAMARCA,93,89,0.51,0.08,0.03,0.01,0.25,0.61,0.31,0.33,0.35,0.52
